country	partner	year	key1	key2	key3	key4	export	gdp_c	gdp_p	distance
Argentina	Australia	1995	ArgentinaAustralia	ArgentinaAustralia1995	Argentina1995	Australia1995	62.9	258217	403133.81	11801.36
Argentina	Australia	2000	ArgentinaAustralia	ArgentinaAustralia2000	Argentina2000	Australia2000	66.7	284410	537291.43	11801.36
Argentina	Australia	2005	ArgentinaAustralia	ArgentinaAustralia2005	Argentina2005	Australia2005	262.7	181357	716652.03	11801.36
Argentina	Australia	2008	ArgentinaAustralia	ArgentinaAustralia2008	Argentina2008	Australia2008	477.7	324405	848026.6	11801.36
Argentina	Australia	2009	ArgentinaAustralia	ArgentinaAustralia2009	Argentina2009	Australia2009	439.7	305763	899404.39	11801.36
Argentina	Austria	1995	ArgentinaAustria	ArgentinaAustria1995	Argentina1995	Austria1995	9.4	258217	186645.66	11833.76
Argentina	Austria	2000	ArgentinaAustria	ArgentinaAustria2000	Argentina2000	Austria2000	17.1	284410	231572.54	11833.76
Argentina	Austria	2005	ArgentinaAustria	ArgentinaAustria2005	Argentina2005	Austria2005	40.4	181357	276672.16	11833.76
Argentina	Austria	2008	ArgentinaAustria	ArgentinaAustria2008	Argentina2008	Austria2008	170	324405	331667.26	11833.76
Argentina	Austria	2009	ArgentinaAustria	ArgentinaAustria2009	Argentina2009	Austria2009	129.4	305763	325304.77	11833.76
Argentina	Belgium	1995	ArgentinaBelgium	ArgentinaBelgium1995	Argentina1995	Belgium1995	163.3	258217	227449.15	11326.76
Argentina	Belgium	2000	ArgentinaBelgium	ArgentinaBelgium2000	Argentina2000	Belgium2000	183.2	284410	283448.34	11326.76
Argentina	Belgium	2005	ArgentinaBelgium	ArgentinaBelgium2005	Argentina2005	Belgium2005	217.2	181357	337299.88	11326.76
Argentina	Belgium	2008	ArgentinaBelgium	ArgentinaBelgium2008	Argentina2008	Belgium2008	553.4	324405	396534.89	11326.76
Argentina	Belgium	2009	ArgentinaBelgium	ArgentinaBelgium2009	Argentina2009	Belgium2009	474.4	305763	394813.69	11326.76
Argentina	Brazil	1995	ArgentinaBrazil	ArgentinaBrazil1995	Argentina1995	Brazil1995	5180.1	258217	769741	1691.067
Argentina	Brazil	2000	ArgentinaBrazil	ArgentinaBrazil2000	Argentina2000	Brazil2000	6977.9	284410	644283	1691.067
Argentina	Brazil	2005	ArgentinaBrazil	ArgentinaBrazil2005	Argentina2005	Brazil2005	6339.7	181357	881754	1691.067
Argentina	Brazil	2008	ArgentinaBrazil	ArgentinaBrazil2008	Argentina2008	Brazil2008	12976.7	324405	1650392	1691.067
Argentina	Brazil	2009	ArgentinaBrazil	ArgentinaBrazil2009	Argentina2009	Brazil2009	11406.6	305763	1622311	1691.067
Argentina	Brunei Darussalam	1995	ArgentinaBrunei Darussalam	ArgentinaBrunei Darussalam1995	Argentina1995	Brunei Darussalam1995	0.9	258217	4734	16656.76
Argentina	Brunei Darussalam	2000	ArgentinaBrunei Darussalam	ArgentinaBrunei Darussalam2000	Argentina2000	Brunei Darussalam2000	1.2	284410	6001	16656.76
Argentina	Brunei Darussalam	2005	ArgentinaBrunei Darussalam	ArgentinaBrunei Darussalam2005	Argentina2005	Brunei Darussalam2005	0.5	181357	9531	16656.76
Argentina	Brunei Darussalam	2008	ArgentinaBrunei Darussalam	ArgentinaBrunei Darussalam2008	Argentina2008	Brunei Darussalam2008	0.6	324405	121417	16656.76
Argentina	Brunei Darussalam	2009	ArgentinaBrunei Darussalam	ArgentinaBrunei Darussalam2009	Argentina2009	Brunei Darussalam2009	0.9	305763	10733	16656.76
Argentina	Bulgaria	1995	ArgentinaBulgaria	ArgentinaBulgaria1995	Argentina1995	Bulgaria1995	6.2	258217	13422	11954.84
Argentina	Bulgaria	2000	ArgentinaBulgaria	ArgentinaBulgaria2000	Argentina2000	Bulgaria2000	7.3	284410	12944	11954.84
Argentina	Bulgaria	2005	ArgentinaBulgaria	ArgentinaBulgaria2005	Argentina2005	Bulgaria2005	54.9	181357	28971	11954.84
Argentina	Bulgaria	2008	ArgentinaBulgaria	ArgentinaBulgaria2008	Argentina2008	Bulgaria2008	32.4	324405	52143	11954.84
Argentina	Bulgaria	2009	ArgentinaBulgaria	ArgentinaBulgaria2009	Argentina2009	Bulgaria2009	20.6	305763	48654	11954.84
Argentina	Cambodia	1995	ArgentinaCambodia	ArgentinaCambodia1995	Argentina1995	Cambodia1995	0	258217	3419	16965
Argentina	Cambodia	2000	ArgentinaCambodia	ArgentinaCambodia2000	Argentina2000	Cambodia2000	0.1	284410	3653	16965
Argentina	Cambodia	2005	ArgentinaCambodia	ArgentinaCambodia2005	Argentina2005	Cambodia2005	0.9	181357	6293	16965
Argentina	Cambodia	2008	ArgentinaCambodia	ArgentinaCambodia2008	Argentina2008	Cambodia2008	1.3	324405	10352	16965
Argentina	Cambodia	2009	ArgentinaCambodia	ArgentinaCambodia2009	Argentina2009	Cambodia2009	4.4	305763	10414	16965
Argentina	Canada	1995	ArgentinaCanada	ArgentinaCanada1995	Argentina1995	Canada1995	194.3	258217	666239.27	8970.104
Argentina	Canada	2000	ArgentinaCanada	ArgentinaCanada2000	Argentina2000	Canada2000	310.1	284410	874086.09	8970.104
Argentina	Canada	2005	ArgentinaCanada	ArgentinaCanada2005	Argentina2005	Canada2005	521.4	181357	1132000	8970.104
Argentina	Canada	2008	ArgentinaCanada	ArgentinaCanada2008	Argentina2008	Canada2008	701.7	324405	1298955.7	8970.104
Argentina	Canada	2009	ArgentinaCanada	ArgentinaCanada2009	Argentina2009	Canada2009	710.2	305763	1274897.1	8970.104
Argentina	Chile	1995	ArgentinaChile	ArgentinaChile1995	Argentina1995	Chile1995	1253	258217	110187.86	1128.317
Argentina	Chile	2000	ArgentinaChile	ArgentinaChile2000	Argentina2000	Chile2000	2728.6	284410	146830.2	1128.317
Argentina	Chile	2005	ArgentinaChile	ArgentinaChile2005	Argentina2005	Chile2005	4284.6	181357	206427.43	1128.317
Argentina	Chile	2008	ArgentinaChile	ArgentinaChile2008	Argentina2008	Chile2008	4443.1	324405	276616.38	1128.317
Argentina	Chile	2009	ArgentinaChile	ArgentinaChile2009	Argentina2009	Chile2009	4238.4	305763	276105.19	1128.317
Argentina	China	1995	ArgentinaChina	ArgentinaChina1995	Argentina1995	China1995	313.1	258217	1832792.6	19297.47
Argentina	China	2000	ArgentinaChina	ArgentinaChina2000	Argentina2000	China2000	1044.6	284410	3014723.6	19297.47
Argentina	China	2005	ArgentinaChina	ArgentinaChina2005	Argentina2005	China2005	4219.2	181357	5363612.8	19297.47
Argentina	China	2008	ArgentinaChina	ArgentinaChina2008	Argentina2008	China2008	9573.7	324405	8214633.2	19297.47
Argentina	China	2009	ArgentinaChina	ArgentinaChina2009	Argentina2009	China2009	4981.2	305763	9049716.3	19297.47
Argentina	Chinese Taipei	1995	ArgentinaChinese Taipei	ArgentinaChinese Taipei1995	Argentina1995	Chinese Taipei1995	134.9	258217	274773	18967.23
Argentina	Chinese Taipei	2000	ArgentinaChinese Taipei	ArgentinaChinese Taipei2000	Argentina2000	Chinese Taipei2000	83.2	284410	326162	18967.23
Argentina	Chinese Taipei	2005	ArgentinaChinese Taipei	ArgentinaChinese Taipei2005	Argentina2005	Chinese Taipei2005	192.3	181357	364849	18967.23
Argentina	Chinese Taipei	2008	ArgentinaChinese Taipei	ArgentinaChinese Taipei2008	Argentina2008	Chinese Taipei2008	133.8	324405	400206	18967.23
Argentina	Chinese Taipei	2009	ArgentinaChinese Taipei	ArgentinaChinese Taipei2009	Argentina2009	Chinese Taipei2009	78.6	305763	377568	18967.23
Argentina	Czech Republic	1995	ArgentinaCzech Republic	ArgentinaCzech Republic1995	Argentina1995	Czech Republic1995	7.7	258217	138171.51	11836.83
